2519
(128560439, 'ADA3', '603', 'C1', 'PORTO', 'PARANHOS', 'RUA VALE FORMOSO', 'PARAGEM SEM ABRIGO')
(1224758731, 'ROSA1', '0', 'S8', 'VILA NOVA DE GAIA', 'MAFAMUDE', 'RUA CLUBE DOS CACADORES', 'postalete')
(112613540, 'AJA1', '0', 'C5', 'MATOSINHOS', 'CUSTÓIAS', 'RUA ANTONIO JOSE DE ALMEIDA', 'postalete')
(112613540, 'AJA2', '0', 'C5', 'MATOSINHOS', 'CUSTÓIAS', 'RUA ANTONIO JOSE DE ALMEIDA', 'postalete')
(343634629, 'SAL3', '0', 'C1', 'PORTO', 'PARANHOS', 'RUA AUGUSTO LESSA', 'postalete')
(343634629, 'SAL4', '0', 'C1', 'PORTO', 'PARANHOS', 'RUA AUGUSTO LESSA', 'postalete')
(416417200, 'AUL1', '0', 'C1', 'PORTO', 'PARANHOS', 'RUA AUGUSTO LESSA', 'postalete')
(112613546, 'QTL1', '0', 'C2', 'PORTO', 'RAMALDE', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'postalete')
(112613546, 'QTL2', '0', 'C2', 'MATOSINHOS', 'SENHORA DA HORA', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'com painel abrigo')
(314536490, 'CGG', '0', 'C8', 'GONDOMAR', 'GONDOMAR (S. COSME)', '0', 'PARAGEM COM ABRIGO C')
(112617128, '25AB1', '0', 'C10', 'VALONGO', 'VALONGO', 'AVENIDA 25 ABRIL', 'PARAGEM COM ABRIGO J')
(112617128, '25AB2', '0', 'C10', 'VALONGO', 'VALONGO', 'AVENIDA 25 ABRIL', 'PARAGEM COM ABRIGO J')
(111467280, '28J1', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA 28 DE JANEIRO', 'postalete')
(111467281, '28J2', '1151', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA CAMILO C  BRANCO', 'postalete')
(488593331, '4CAM1', '0', 'C9', 'VALONGO', 'ERMESINDE', 'ENG. DUARTE PACHECO', 'com painel abrigo')
(488593331, '4CAM2', '0', 'C9', 'VALONGO', 'ERMESINDE', 'ENG. DUARTE PACHECO', 'com painel abrigo')
(314536490, 'BVG1', '0', 'C8', 'GONDOMAR', 'GONDOMAR (S. COSME)', 'RUA 5 OUTUBRO', 'PARAGEM SEM ABRIGO')
(314536490, 'BVG2', '0', 'C8', 'GONDOMAR', 'GONDOMAR (S. COSME)', '0', 'PARAGEM COM ABRIGO C')
(430267067, '5OTB2', '0', 'C5', 'MAIA', 'GUEIFÃES', 'RUA 5 DE OUTUBRO', 'postalete')
(444041716, '5OTR1', '0', 'C9', 'VALONGO', 'ERMESINDE', 'RUA 5 OUTUBRO', 'PARAGEM COM ABRIGO J')
(444041716, '5OTR2', '0', 'C9', 'VALONGO', 'ERMESINDE', 'RUA 5 OUTUBRO', 'PARAGEM SEM ABRIGO')
(663689451, 'VALC2', '0', 'C10', 'VALONGO', 'VALONGO', 'AVENIDA 5 OUTUBRO', 'PARAGEM COM ABRIGO J')
(445041897, '5OUT1', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'TEÓFILO BRAGA', 'com painel abrigo')
(445041897, '5OUT2', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA 5 DE OUTUBRO', 'com painel abrigo')
(112617126, '9AG1', '0', 'C9', 'VALONGO', 'ERMESINDE', 'HUMBERTO DELGADO', 'PARAGEM SEM ABRIGO')
(269565778, 'AA1', '0', 'C6', 'PORTO', 'PARANHOS', 'RUA COSTA CABRAL', 'PARAGEM SEM ABRIGO')
(269565778, 'AA2', '0', 'C6', 'PORTO', 'PARANHOS', 'RUA COSTA CABRAL', 'PARAGEM COM ABRIGO J')
(124367355, 'AAL2', '0', 'C1', 'PORTO', 'SANTO ILDEFONSO', 'AVENIDA ALIADOS', 'PARAGEM COM ABRIGO J')
(124367355, 'AAL4', '0', 'C1', 'PORTO', 'SANTO ILDEFONSO', 'AVENIDA ALIADOS', 'com painel abrigo')
(25620743, 'AAL9', '0', 'C1', 'PORTO', 'SANTO ILDEFONSO', 'AVENIDA ALIADOS', 'PARAGEM COM ABRIGO J')
(112617112, 'MSHP3', '0', 'C9', 'VALONGO', 'ERMESINDE', 'RUA ELIAS GARCIA', 'PARAGEM SEM ABRIGO')
(112617112, 'MSHP4', '0', 'C9', 'VALONGO', 'ERMESINDE', 'RUA ELIAS GARCIA', 'PARAGEM SEM ABRIGO')
(111619645, 'EXP1', '0', 'C4', 'MATOSINHOS', 'LEÇA DA PALMEIRA', 'RUA DR. ANTONIO MACEDO', 'postalete')
(1264279459, 'PRCD3', '0', 'C2', 'PORTO', 'ALDOAR', 'AVENIDA BOAVISTA', 'com painel abrigo')
(1264279459, 'PRCD4', '0', 'C2', 'PORTO', 'ALDOAR', 'AVENIDA BOAVISTA', 'com painel abrigo')
(112664172, 'AAS1', '0', 'C8', 'GONDOMAR', 'RIO TINTO', '0', 'com painel abrigo')
(112664172, 'AAS2', '0', 'C8', 'GONDOMAR', 'RIO TINTO', '0', 'postalete')
(497171006, 'BPTL1', '0', 'C2', 'PORTO', 'LORDELO DO OURO', 'RUA BARTOLOMEU VELHO', 'PARAGEM SEM ABRIGO')
(125384242, 'BPTL2', '0', 'C2', 'PORTO', 'LORDELO DO OURO', 'RUA BARTOLOMEU VELHO', 'PARAGEM COM ABRIGO J')
(430284855, 'AAX1', '1472', 'C5', 'MAIA', 'GUEIFÃES', 'RUA DE CATASSOL', 'PARAGEM SEM ABRIGO')
(430284855, 'AAX2', '0', 'C5', 'MATOSINHOS', 'LEÇA DO BALIO', 'RUA DE CATASSOL', 'PARAGEM SEM ABRIGO')
(488593331, '4CAM4', '0', 'C9', 'VALONGO', 'ERMESINDE', '0', 'PARAGEM SEM ABRIGO')
(488593331, '4CAM3', '0', 'C9', 'VALONGO', 'ERMESINDE', 'CABEDA', 'PARAGEM SEM ABRIGO')
(96497010, 'ABL1', '0', 'C3', 'MATOSINHOS', 'GUIFÕES', 'RUA LOMBA', 'postalete')
(96497010, 'ABL2', '0', 'C3', 'MATOSINHOS', 'GUIFÕES', 'RUA LOMBA', 'postalete')
(111632672, 'ABMG1', '0', 'C4', 'MATOSINHOS', 'PERAFITA', 'RUA OSCAR DA SILVA', 'PARAGEM COM ABRIGO J')
(111632672, 'ABMG2', '0', 'C4', 'MATOSINHOS', 'PERAFITA', 'RUA OSCAR DA SILVA', 'PARAGEM SEM ABRIGO')
(430284855, 'IMAI2', '190', 'C5', 'MAIA', 'MAIA', '0', 'PARAGEM COM ABRIGO J')
(111632674, 'ABX1', '0', 'C4', 'MATOSINHOS', 'SANTA CRUZ DO BISPO', 'RUA SAO BRAS', 'postalete')
(111632674, 'ABX2', '0', 'C4', 'MATOSINHOS', 'SANTA CRUZ DO BISPO', 'RUA SAO BRAS', 'postalete')
(311624110, 'ACB1', '0', 'S1', 'VILA NOVA DE GAIA', 'CANIDELO', 'RUA BELGICA', 'postalete')
(311624110, 'ACB2', '552', 'S1', 'VILA NOVA DE GAIA', 'CANIDELO', 'RUA BELGICA', 'postalete')
(311624110, 'ACBL1', '0', 'S2', 'VILA NOVA DE GAIA', 'VALADARES', 'AVENIDA INFANTE SAGRES', 'postalete')
(311624110, 'ACBL2', '0', 'S2', 'VILA NOVA DE GAIA', 'VALADARES', 'AVENIDA INFANTE SAGRES', 'com painel abrigo')
(111506652, 'ACD1', '0', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA MENERES', 'PARAGEM SEM ABRIGO')
(1236467498, 'ACD3', '535', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA REPUBLICA', 'com painel abrigo')
(111506652, 'ACD4', '582', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA REPUBLICA', 'postalete')
(1277620331, 'ACDR1', '0', 'S8', 'VILA NOVA DE GAIA', 'MAFAMUDE', 'RUA CORUJEIRAS', 'postalete')
(1277620331, 'ACDR2', '0', 'S8', 'VILA NOVA DE GAIA', 'MAFAMUDE', 'RUA CORUJEIRAS', 'com painel abrigo')
(349907807, 'ACN1', '0', 'C1', 'PORTO', 'CEDOFEITA', 'RUA ANTONIO CANDIDO', 'postalete')
(138205502, 'CONS1', '0', 'C1', 'PORTO', 'PARANHOS', 'RUA FARIA GUIMARAES', 'postalete')
(1264279362, 'ACRD1', '0', 'C1', 'PORTO', 'LORDELO DO OURO', 'AVENIDA BOAVISTA', 'PARAGEM COM ABRIGO J')
(111798983, 'ACRD2', '0', 'C1', 'PORTO', 'LORDELO DO OURO', 'AVENIDA BOAVISTA', 'PARAGEM COM ABRIGO J')
(428214900, 'APT1', '0', 'C1', 'PORTO', 'LORDELO DO OURO', 'RUA ANTONIO CARDOSO', 'com painel abrigo')
(343646668, 'ACST2', '0', 'C1', 'PORTO', 'PARANHOS', 'TRAVESSA ALVARO DE CASTELOES', 'postalete')
(411831031, 'ADA1', '0', 'C1', 'PORTO', 'PARANHOS', 'RUA MONSANTO', 'postalete')
(128566335, 'ADA2', '0', 'C1', 'PORTO', 'PARANHOS', 'RUA MONSANTO', 'postalete')
(430267067, 'AR2', '391', 'C5', 'MATOSINHOS', 'S. MAMEDE DE INFESTA', 'RUA MOALDE', 'postalete')
(430267067, 'ARCO1', '0', 'C5', 'MAIA', 'GUEIFÃES', 'RUA DO ARCO', 'postalete')
(430267067, 'ARCO2', '0', 'C5', 'MAIA', 'GUEIFÃES', 'RUA DO ARCO', 'postalete')
(112617111, 'ARDG1', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA CENTRAL DE ARDEGAES', 'postalete')
(112617111, 'ARDG2', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA CENTRAL DE ARDEGAES', 'postalete')
(112613542, 'ARJ1', '0', 'C5', 'MATOSINHOS', 'LEÇA DO BALIO', 'RUA ARAUJO', 'com painel abrigo')
(112613542, 'ARJ2', '0', 'C5', 'MATOSINHOS', 'LEÇA DO BALIO', 'RUA ARAUJO', 'com painel abrigo')
(112688627, 'ARNH1', '196', 'C6', 'PORTO', 'CAMPANHÃ', 'AVENIDA PAIVA COUCEIRO', 'com painel abrigo')
(112688627, 'ARNH2', '0', 'C6', 'PORTO', 'CAMPANHÃ', 'AVENIDA PAIVA COUCEIRO', 'com painel abrigo')
(1277620331, 'ARR', '0', 'S8', 'VILA NOVA DE GAIA', 'MAFAMUDE', 'TRAVESSA RASA', 'postalete')
(111486035, 'ARRB1', '0', 'S8', 'VILA NOVA DE GAIA', 'S. PEDRO DA AFURADA', 'RUA CAMILO C  BRANCO', 'com painel abrigo')
(430267067, 'ARRG1', '0', 'C9', 'MAIA', 'MILHEIRÓS', 'RUA GENERAL HUMBERTO DELGADO', 'postalete')
(430267067, 'ARRG2', '0', 'C9', 'MAIA', 'MILHEIRÓS', 'RUA DA AGRELA', 'abrigo')
(112617111, 'ARRV1', '0', 'C9', 'MAIA', 'MILHEIRÓS', 'RUA DAS ARREGADAS', 'postalete')
(112617111, 'ARRV2', '0', 'C9', 'MAIA', 'MILHEIRÓS', 'RUA DAS ARREGADAS', 'postalete')
(445041887, 'ARS2', '0', 'C6', 'PORTO', 'PARANHOS', 'RUA COSTA CABRAL', 'PARAGEM SEM ABRIGO')
(112613629, 'ARS3', '0', 'C6', 'PORTO', 'PARANHOS', 'RUA COSTA CABRAL', 'PARAGEM SEM ABRIGO')
(112613631, 'ARS4', '0', 'C6', 'PORTO', 'PARANHOS', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'com painel abrigo')
(112613621, 'ARS5', '0', 'C6', 'MAIA', 'PEDROUÇOS', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'abrigo')
(112613622, 'ARS7', '0', 'C9', 'MAIA', 'PEDROUÇOS', 'RUA GONCALO MENDES DA MAIA', 'postalete')
(112613631, 'ARS8', '443', 'C6', 'PORTO', 'PARANHOS', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'com painel abrigo')
(112617113, 'AVLM2', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'AVENIDA DO LIDADOR DA MAIA', 'com painel abrigo')
(111619645, 'AVM1', '0', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'RUA BRITO CAPELO', 'PARAGEM COM ABRIGO J')
(111619645, 'MTSP2', '0', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'RUA ROBERTO IVENS', 'postalete')
(111619645, 'MTSP1', '0', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA REPUBLICA', 'PARAGEM SEM ABRIGO')
(432597954, 'AVTE1', '0', 'C6', 'PORTO', 'PARANHOS', 'RUA CONDE AVRANCHES', 'PARAGEM COM ABRIGO J')
(432597949, 'AVTE2', '0', 'C6', 'PORTO', 'PARANHOS', 'RUA CONDE AVRANCHES', 'PARAGEM COM ABRIGO J')
(444004648, 'AZ', '0', 'C6', 'PORTO', 'PARANHOS', 'RUA AMIAL', 'PARAGEM COM ABRIGO J')
(111632976, 'AZC1', '0', 'C3', 'MATOSINHOS', 'SENHORA DA HORA', 'RUA DR. EDUARDO TORRES', 'com painel abrigo')
(1236467439, 'AZC2', '0', 'C3', 'MATOSINHOS', 'SENHORA DA HORA', 'RUA DR. EDUARDO TORRES', 'postalete')
(430267067, 'AZN1', '0', 'C5', 'MAIA', 'GUEIFÃES', 'RUA SANTOS DIAS', 'postalete')
(430267067, 'AZN2', '0', 'C5', 'MAIA', 'GUEIFÃES', 'RUA PONTE DA PEDRA', 'com painel abrigo')
(1097394662, 'AZV', '0', 'C6', 'PORTO', 'CAMPANHÃ', 'RUA AZEVEDO', 'PARAGEM SEM ABRIGO')
(96497009, 'BAR1', '0', 'C4', 'MATOSINHOS', 'PERAFITA', 'RUA ORIENTAL', 'com painel abrigo')
(96497009, 'BAR2', '0', 'C4', 'MATOSINHOS', 'PERAFITA', 'RUA ORIENTAL', 'com painel abrigo')
(447872458, 'BARR1', '0', 'N16', 'VALONGO', 'ALFENA', 'RUA VICENTE', 'PARAGEM SEM ABRIGO')
(447872458, 'BARR2', '0', 'N16', 'VALONGO', 'ALFENA', 'RUA VICENTE', 'PARAGEM COM ABRIGO J')
(111619645, 'BAT1', '0', 'C4', 'MATOSINHOS', 'LEÇA DA PALMEIRA', 'RUA OSCAR DA SILVA', 'PARAGEM COM ABRIGO J')
(111619645, 'BAT2', '0', 'C4', 'MATOSINHOS', 'LEÇA DA PALMEIRA', 'RUA OSCAR DA SILVA', 'PARAGEM SEM ABRIGO')
(126401370, 'BBL', '0', 'C1', 'PORTO', 'LORDELO DO OURO', '0', 'postalete')
(474694626, 'BCG', '0', 'C1', 'PORTO', 'CEDOFEITA', 'RUA CONSTITUICAO', 'PARAGEM COM ABRIGO J')
(100118446, 'BCH1', '249', 'S2', 'VILA NOVA DE GAIA', 'VALADARES', 'RUA MANUEL ALVES REIS', 'postalete')
(100118446, 'BCH2', '249', 'S2', 'VILA NOVA DE GAIA', 'VALADARES', 'RUA MANUEL ALVES REIS', 'com painel abrigo')
(1103952948, 'BCP1', '0', 'C6', 'PORTO', 'CAMPANHÃ', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'com painel abrigo')
(1103952948, 'BCP2', '0', 'C6', 'PORTO', 'CAMPANHÃ', 'RUA TIRARES', 'com painel abrigo')
(1277620309, 'CSSR1', '0', 'S8', 'VILA NOVA DE GAIA', 'MAFAMUDE', 'RUA SOARES DOS REIS', 'com painel abrigo')
(1277620309, 'CSSR2', '0', 'S8', 'VILA NOVA DE GAIA', 'MAFAMUDE', 'RUA SOARES DOS REIS', 'com painel abrigo')
(112613542, 'JZOO2', '0', 'C5', 'MAIA', 'MAIA', 'RUA DA IGREJA', 'postalete')
(112613542, 'JZOO1', '0', 'C5', 'MAIA', 'MAIA', 'RUA DA IGREJA', 'com painel abrigo')
(1224758703, 'BELA1', '0', 'S2', 'VILA NOVA DE GAIA', 'VALADARES', 'RUA BELIDE', 'postalete')
(1224758703, 'BELA2', '0', 'S2', 'VILA NOVA DE GAIA', 'VALADARES', 'RUA BELIDE', 'postalete')
(1198805201, 'BFAL1', '0', 'C6', 'PORTO', 'CAMPANHÃ', 'RUA FALCAO', 'PARAGEM SEM ABRIGO')
(1198805189, 'BFAL2', '0', 'C6', 'PORTO', 'CAMPANHÃ', 'RUA FALCAO', 'PARAGEM COM ABRIGO J')
(299584069, 'BFB', '0', 'C6', 'PORTO', 'CAMPANHÃ', 'RUA PROF. BONFIM BARREIROS', 'com painel abrigo')
(138251514, 'BFM1', '0', 'C1', 'PORTO', 'BONFIM', 'RUA BONFIM', 'postalete')
(138251514, 'BFM2', '0', 'C1', 'PORTO', 'BONFIM', 'RUA BONFIM', 'PARAGEM SEM ABRIGO')
(138246606, 'BFM4', '0', 'C1', 'PORTO', 'BONFIM', 'RUA BONFIM', 'PARAGEM SEM ABRIGO')
(1165603971, 'BFM8', '0', 'C1', 'PORTO', 'BONFIM', 'RUA BARROS LIMA', 'PARAGEM SEM ABRIGO')
(1224758703, 'BGJ1', '0', 'S1', 'VILA NOVA DE GAIA', 'CANIDELO', 'RUA BELGICA', 'postalete')
(1224758703, 'BGJ2', '1902', 'S1', 'VILA NOVA DE GAIA', 'CANIDELO', 'RUA BELGICA', 'com painel abrigo')
(447872458, 'COD', '0', 'N16', 'VALONGO', 'ALFENA', 'RUA NOSSA SR AMPARO', 'PARAGEM COM ABRIGO J')
(100118436, 'COEM', '597', 'S2', 'VILA NOVA DE GAIA', 'VALADARES', 'RUA PROF  AMADEU SANTOS', 'postalete')
(445041897, 'HUMB1', '0', 'C9', 'MAIA', 'PEDROUÇOS', 'RUA GENERAL HUMBERTO DELGADO', 'postalete')
(445041897, 'HUMB2', '0', 'C9', 'MAIA', 'PEDROUÇOS', 'RUA GENERAL HUMBERTO DELGADO', 'com painel abrigo')
(445041899, 'ARSM1', '0', 'C9', 'GONDOMAR', 'RIO TINTO', 'RUA D. AFONSO HENRIQUES', 'PARAGEM SEM ABRIGO')
(445041899, 'ARSM2', '0', 'C9', 'MAIA', 'PEDROUÇOS', 'RUA D. AFONSO HENRIQUES', 'PARAGEM SEM ABRIGO')
(445041897, 'AS1', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA DO MOSTEIRO', 'PARAGEM COM ABRIGO C')
(445041897, 'AS2', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA DO MOSTEIRO', 'PARAGEM COM ABRIGO C')
(420776945, 'ESED1', '0', 'C6', 'PORTO', 'PARANHOS', 'RUA DR.ROBERTO FRIAS', 'PARAGEM COM ABRIGO J')
(112613604, 'ASP3', '0', 'C6', 'PORTO', 'PARANHOS', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'com painel abrigo')
(112613604, 'ASP4', '0', 'C6', 'MAIA', 'PEDROUÇOS', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'postalete')
(112613531, 'SETB1', '0', 'C2', 'MATOSINHOS', 'SENHORA DA HORA', 'RUA SENHORA DA PENHA', 'postalete')
(663689451, 'ASOT1', '0', 'C8', 'GONDOMAR', 'RIO TINTO', '0', 'PARAGEM COM ABRIGO C')
(663689451, 'ASOT2', '0', 'C8', 'GONDOMAR', 'FÂNZERES', 'AVENIDA CARVALHA', 'PARAGEM COM ABRIGO C')
(126604779, 'ASP1', '0', 'C2', 'PORTO', 'RAMALDE', 'RUA SANTA LUZIA', 'PARAGEM COM ABRIGO J')
(287458421, 'ASPL1', '0', 'C5', 'PORTO', 'PARANHOS', 'RUA ASPRELA', 'PARAGEM SEM ABRIGO')
(430267067, 'DB2', '0', 'C5', 'MATOSINHOS', 'S. MAMEDE DE INFESTA', 'RUA OLIVEIRA GAIO', 'PARAGEM SEM ABRIGO')
(112617128, 'ASRR1', '0', 'C8', 'GONDOMAR', 'BAGUIM DO MONTE', 'RUA VASCO DA GAMA', 'postalete')
(112617128, 'ASRR2', '0', 'C10', 'VALONGO', 'VALONGO', 'ENG. DUARTE PACHECO', 'PARAGEM COM ABRIGO J')
(112617128, 'ASRR3', '0', 'C10', 'GONDOMAR', 'BAGUIM DO MONTE', 'ENG. DUARTE PACHECO', 'PARAGEM SEM ABRIGO')
(112617128, 'ASRR4', '0', 'C8', 'GONDOMAR', 'BAGUIM DO MONTE', 'RUA VASCO DA GAMA', 'com painel abrigo')
(445041898, 'AST1', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA DO MOSTEIRO', 'PARAGEM SEM ABRIGO')
(445041898, 'AST2', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA DO MOSTEIRO', 'PARAGEM COM ABRIGO C')
(430284855, 'ASZ1', '1164', 'C5', 'MATOSINHOS', 'S. MAMEDE DE INFESTA', 'RUA GODINHO DE FARIA', 'PARAGEM SEM ABRIGO')
(430284855, 'ASZ2', '1055', 'C5', 'MATOSINHOS', 'S. MAMEDE DE INFESTA', 'RUA GODINHO DE FARIA', 'PARAGEM SEM ABRIGO')
(430267067, 'ASZ3', '0', 'C5', 'MATOSINHOS', 'S. MAMEDE DE INFESTA', 'RUA SANTOS DIAS', 'postalete')
(430267067, 'ASZ4', '839', 'C5', 'MATOSINHOS', 'S. MAMEDE DE INFESTA', 'RUA SANTOS DIAS', 'postalete')
(428214909, 'ASZE1', '0', 'C2', 'PORTO', 'LORDELO DO OURO', 'RUA PINTOR ANTONIO CRUZ', 'postalete')
(663689451, 'ATSR1', '0', 'C11', 'GONDOMAR', 'S. PEDRO DA COVA', 'RUA EDUARDO CASTRO GANDRA', 'PARAGEM SEM ABRIGO')
(663689451, 'ATSR2', '0', 'C11', 'GONDOMAR', 'S. PEDRO DA COVA', 'RUA EDUARDO CASTRO GANDRA', 'PARAGEM COM ABRIGO C')
(430284855, 'PSP1', '0', 'C5', 'MAIA', 'MAIA', 'RUA DR AUGUSTO MARTINS', 'PARAGEM COM ABRIGO J')
(411842220, 'AUS', '0', 'C1', 'PORTO', 'BONFIM', 'RUA ALEGRIA', 'PARAGEM SEM ABRIGO')
(112613533, 'AV1', '0', 'C2', 'PORTO', 'RAMALDE', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'postalete')
(112613546, 'AV2', '11432', 'C2', 'MATOSINHOS', 'SENHORA DA HORA', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'com painel abrigo')
(112617128, 'CLVR1', '0', 'C10', 'VALONGO', 'VALONGO', 'AVENIDA 5 OUTUBRO', 'PARAGEM SEM ABRIGO')
(112613540, 'QTM1', '0', 'C5', 'MAIA', 'MOREIRA', 'RUA PONTE DE MOREIRA', 'postalete')
